00:06:45.637{'coordinate': [286.7082699060821, 286.8349470871757], 'id': 7}
00:06:45.637{'id': 4, 'coordinate': [286.27939698972784, 632.4276367391872]}
00:06:45.638{'coordinate': [309.326911450153, 396.8501111864887], 'id': 5}
00:06:45.638{'coordinate': [314.7091550043244, 72.7588638509406], 'id': 1}
00:06:45.638{'id': 8, 'coordinate': [320.7425232525594, 278.5067110520402]}
00:06:45.640{'coordinate': [327.6619691186544, 203.75438216266684], 'id': 9}
00:06:45.844{'coordinate': [337.64989658717775, 204.2456100970478], 'id': 9}
00:06:45.847{'coordinate': [324.6987676830502, 73.21453755990277], 'id': 1}
00:06:45.847{'id': 4, 'coordinate': [295.7865810674797, 635.5281932878961]}
00:06:45.848{'coordinate': [319.01715828765845, 394.38047230029184], 'id': 5}
00:06:45.849{'id': 8, 'coordinate': [330.6976133687223, 279.4533793038988]}
00:06:45.857{'id': 10, 'coordinate': [328.749498452219, 141.05106413092386]}
00:06:45.859{'coordinate': [259.2542814692181, 626.3044981282917], 'id': 2}
00:06:45.869{'coordinate': [296.49660070232534, 284.78834497066276], 'id': 7}
00:06:46.081{'coordinate': [328.7074051251639, 391.910833414095], 'id': 5}
00:06:46.083{'coordinate': [267.9444527279868, 621.3566780534234], 'id': 2}
00:06:46.084{'coordinate': [306.2849314985686, 282.7417428541498], 'id': 7}
00:06:46.084{'coordinate': [347.6378240557011, 204.73683803142876], 'id': 9}
00:06:46.084{'id': 8, 'coordinate': [340.65270348488514, 280.4000475557574]}
00:06:46.085{'id': 10, 'coordinate': [338.74086046781275, 141.46661806647296]}
00:06:46.085{'id': 4, 'coordinate': [305.29376514523153, 638.628749836605]}
00:06:46.095{'coordinate': [334.68838036177607, 73.67021126886493], 'id': 1}
00:06:46.296{'coordinate': [357.6257515242245, 205.22806596580972], 'id': 9}
00:06:46.297{'id': 4, 'coordinate': [314.8009492229834, 641.7293063853141]}
00:06:46.298{'coordinate': [316.07326229481185, 280.69514073763685], 'id': 7}
00:06:46.298{'coordinate': [338.3976519626694, 389.4411945278982], 'id': 5}
00:06:46.298{'id': 10, 'coordinate': [348.73222248340653, 141.88217200202206]}
00:06:46.299{'coordinate': [344.6779930405019, 74.1258849778271], 'id': 1}
00:06:46.307{'id': 8, 'coordinate': [350.607793601048, 281.346715807616]}
00:06:46.315{'coordinate': [276.6346239867555, 616.408857978555], 'id': 2}
00:06:46.522{'coordinate': [348.08789880017486, 386.97155564170134], 'id': 5}
00:06:46.523{'id': 4, 'coordinate': [324.3081333007352, 644.829862934023]}
00:06:46.524{'coordinate': [285.32479524552423, 611.4610379036867], 'id': 2}
00:06:46.524{'coordinate': [354.66760571922777, 74.58155868678926], 'id': 1}
